127.0.0.1 - - [11/Mar/2019:09:25:13 +0900] "GET / HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [11/Mar/2019:09:25:14 +0900] "GET /SpringBoard/WEB-INF/classes/kr/ac/kopo/ctc/spring/board/web/Gongji1Controller.java HTTP/1.1" 404 1072
192.168.23.26 - - [11/Mar/2019:09:26:20 +0900] "GET /SpringBoard/Gongji1/list.jsp HTTP/1.1" 404 315
192.168.23.26 - - [11/Mar/2019:09:26:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1110
192.168.23.26 - - [11/Mar/2019:09:26:47 +0900] "GET /SpringBoard/Gongji1/findAll HTTP/1.1" 200 7917
192.168.23.26 - - [11/Mar/2019:09:26:59 +0900] "POST /SpringBoard/Gongji1/findAll HTTP/1.1" 200 6425
192.168.23.26 - - [11/Mar/2019:09:27:01 +0900] "GET /SpringBoard/Gongji1/findAll?page=1&searchString=Lee&keyField=author HTTP/1.1" 200 6420
192.168.23.26 - - [11/Mar/2019:09:27:01 +0900] "GET /SpringBoard/Gongji1/findAll?page=2&searchString=Lee&keyField=author HTTP/1.1" 200 6420
192.168.23.26 - - [11/Mar/2019:09:27:02 +0900] "GET /SpringBoard/Gongji1/findAll?page=3&searchString=Lee&keyField=author HTTP/1.1" 200 4474
192.168.23.26 - - [11/Mar/2019:09:27:03 +0900] "GET /SpringBoard/Gongji1/findAll?page=0&searchString=Lee&keyField=author HTTP/1.1" 200 6425
192.168.23.26 - - [11/Mar/2019:09:27:14 +0900] "GET /SpringBoard/Gongji1/detail/1217 HTTP/1.1" 200 2182
192.168.23.26 - - [11/Mar/2019:09:29:34 +0900] "GET /SpringBoard/Gongji1/findAll HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:37 +0900] "GET /SpringBoard/Gongji1/findAll HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:38 +0900] "GET /SpringBoard/Gongji1/findAll HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:38 +0900] "GET /SpringBoard/Gongji1/findAll HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:40 +0900] "GET /SpringBoard/Gongji1/findAll?page=1 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:29:40 +0900] "GET /SpringBoard/Gongji1/findAll?page=2 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:29:42 +0900] "GET /SpringBoard/Gongji1/findAll?page=3 HTTP/1.1" 200 7875
192.168.23.26 - - [11/Mar/2019:09:29:43 +0900] "GET /SpringBoard/Gongji1/findAll?page=4 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:29:44 +0900] "GET /SpringBoard/Gongji1/findAll?page=9 HTTP/1.1" 200 7897
192.168.23.26 - - [11/Mar/2019:09:29:44 +0900] "GET /SpringBoard/Gongji1/findAll?page=8 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:29:46 +0900] "GET /SpringBoard/Gongji1/findAll?page=9 HTTP/1.1" 200 7897
192.168.23.26 - - [11/Mar/2019:09:29:46 +0900] "GET /SpringBoard/Gongji1/findAll?page=10 HTTP/1.1" 200 5382
192.168.23.26 - - [11/Mar/2019:09:29:48 +0900] "GET /SpringBoard/Gongji1/findAll?page=10 HTTP/1.1" 200 5382
192.168.23.26 - - [11/Mar/2019:09:29:49 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:50 +0900] "GET /SpringBoard/Gongji1/findAll?page=-1 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:51 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:29:52 +0900] "GET /SpringBoard/Gongji1/findAll?page=1 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:29:52 +0900] "GET /SpringBoard/Gongji1/findAll?page=2 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:29:53 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:33:52 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:33:53 +0900] "GET /SpringBoard/Gongji1/findAll?page=1 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:33:55 +0900] "GET /SpringBoard/Gongji1/findAll?page=2 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:33:56 +0900] "GET /SpringBoard/Gongji1/findAll?page=3 HTTP/1.1" 200 7875
192.168.23.26 - - [11/Mar/2019:09:33:57 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:33:59 +0900] "GET /SpringBoard/Gongji1/findAll?page=9 HTTP/1.1" 200 7897
192.168.23.26 - - [11/Mar/2019:09:34:44 +0900] "GET /SpringBoard/Gongji1/findAll?page=0 HTTP/1.1" 200 7873
192.168.23.26 - - [11/Mar/2019:09:34:49 +0900] "GET /SpringBoard/Gongji1/findAll?page=1 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:34:50 +0900] "GET /SpringBoard/Gongji1/findAll?page=2 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:34:51 +0900] "GET /SpringBoard/Gongji1/findAll?page=4 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:34:52 +0900] "GET /SpringBoard/Gongji1/findAll?page=4 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:34:54 +0900] "GET /SpringBoard/Gongji1/findAll?page=5 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:34:56 +0900] "GET /SpringBoard/Gongji1/findAll?page=6 HTTP/1.1" 200 7875
192.168.23.26 - - [11/Mar/2019:09:34:58 +0900] "GET /SpringBoard/Gongji1/findAll?page=7 HTTP/1.1" 200 7877
192.168.23.26 - - [11/Mar/2019:09:34:58 +0900] "GET /SpringBoard/Gongji1/findAll?page=8 HTTP/1.1" 200 7876
192.168.23.26 - - [11/Mar/2019:09:34:59 +0900] "GET /SpringBoard/Gongji1/findAll?page=9 HTTP/1.1" 200 7897
